#Precinct,Precinct ID,Precinct Reporting,Registered Voters,Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Mail In Votes,Absentee Mail In Overvotes,Absentee Mail In Undervotes,Absentee Mail In Invalid Votes,Absentee Walk In Votes,Absentee Walk In Overvotes,Absentee Walk In Undervotes,Absentee Walk In Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Randy CRAVENS,2,,42,0,0,0,12,0,0,0,5,0,0,0,1,0,0,0,21,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Jonathan RICHARDSON,1,,30,0,0,0,13,0,0,0,4,0,0,0,1,0,0,0,12,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Todd KELLY,5,,19,0,0,0,14,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Don B. PRATT,4,,24,0,0,0,15,0,0,0,2,0,0,0,1,0,0,0,6,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Shauna RUDD,3,,21,0,0,0,16,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0
A102-BARKER - REP,3,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ryan L. BINKLEY,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - REP,3,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Vivek RAMASWAMY,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - REP,3,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ron DeSANTIS,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - REP,3,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Donald J. TRUMP,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - REP,3,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Chris CHRISTIE,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - REP,3,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Nikki R. HALEY,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - REP,3,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,"""UNCOMMITTED""",6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Joseph R. BIDEN JR.,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Marianne WILLIAMSON,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Dean PHILLIPS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,"""UNCOMMITTED""",4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Randy CRAVENS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Jonathan RICHARDSON,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Todd KELLY,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Don B. PRATT,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102-BARKER - DEM,4,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Shauna RUDD,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - REP,5,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ryan L. BINKLEY,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - REP,5,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Vivek RAMASWAMY,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - REP,5,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ron DeSANTIS,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - REP,5,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Donald J. TRUMP,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - REP,5,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Chris CHRISTIE,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - REP,5,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Nikki R. HALEY,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - REP,5,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,"""UNCOMMITTED""",6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Joseph R. BIDEN JR.,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Marianne WILLIAMSON,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Dean PHILLIPS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,"""UNCOMMITTED""",4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Randy CRAVENS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Jonathan RICHARDSON,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Todd KELLY,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Don B. PRATT,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103-BEAUMONT - DEM,6,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Shauna RUDD,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ryan L. BINKLEY,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Vivek RAMASWAMY,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ron DeSANTIS,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Donald J. TRUMP,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Chris CHRISTIE,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Nikki R. HALEY,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,"""UNCOMMITTED""",6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,STATE SENATOR 17th Senatorial District,13,,Julia JADDOCK,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - REP,7,Not Reporting,0,0,0,STATE SENATOR 17th Senatorial District,13,,Matt NUNN,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Joseph R. BIDEN JR.,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Marianne WILLIAMSON,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Dean PHILLIPS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,"""UNCOMMITTED""",4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Randy CRAVENS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Jonathan RICHARDSON,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Todd KELLY,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Don B. PRATT,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104-BELL SCHOOL HOUSE - DEM,8,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Shauna RUDD,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - REP,9,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ryan L. BINKLEY,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - REP,9,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Vivek RAMASWAMY,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - REP,9,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ron DeSANTIS,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - REP,9,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Donald J. TRUMP,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - REP,9,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Chris CHRISTIE,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - REP,9,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Nikki R. HALEY,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - REP,9,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,"""UNCOMMITTED""",6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Joseph R. BIDEN JR.,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Marianne WILLIAMSON,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Dean PHILLIPS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,"""UNCOMMITTED""",4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Randy CRAVENS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Jonathan RICHARDSON,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Todd KELLY,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Don B. PRATT,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106-CARDINAL VALLEY - DEM,10,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Shauna RUDD,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - REP,11,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ryan L. BINKLEY,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - REP,11,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Vivek RAMASWAMY,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - REP,11,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ron DeSANTIS,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - REP,11,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Donald J. TRUMP,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - REP,11,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Chris CHRISTIE,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - REP,11,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Nikki R. HALEY,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - REP,11,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,"""UNCOMMITTED""",6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Joseph R. BIDEN JR.,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Marianne WILLIAMSON,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Dean PHILLIPS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,"""UNCOMMITTED""",4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Randy CRAVENS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Jonathan RICHARDSON,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Todd KELLY,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Don B. PRATT,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Shauna RUDD,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,STATE REPRESENTATIVE 77th Representative District,8,,George A. BROWN JR.,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A109-DOUGLAS-WASHINGTON - DEM,12,Not Reporting,0,0,0,STATE REPRESENTATIVE 77th Representative District,8,,Daniel E. WHITLEY,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ryan L. BINKLEY,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Vivek RAMASWAMY,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Ron DeSANTIS,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Donald J. TRUMP,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Chris CHRISTIE,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,Nikki R. HALEY,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,2,,"""UNCOMMITTED""",6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,URBAN COUNTY COUNCIL District 1,9,,Tayna FOGLE,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,URBAN COUNTY COUNCIL District 1,9,,Tyler MORTON,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - REP,13,Not Reporting,0,0,0,URBAN COUNTY COUNCIL District 1,9,,Darnell TAGALOA,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Joseph R. BIDEN JR.,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Marianne WILLIAMSON,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,Dean PHILLIPS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,PRESIDENT of the UNITED STATES,4,,"""UNCOMMITTED""",4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Randy CRAVENS,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Jonathan RICHARDSON,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Todd KELLY,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Don B. PRATT,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A111-FAIRLAWN - DEM,14,Not Reporting,0,0,0,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,5,,Shauna RUDD,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
